company_id,person_id,match_type,score
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
